Part Name,Width (inches),Length (inches),Cabinet Number
Door(R),9 5/8,29 1/16,3
Door(R),9 11/16,29 1/16,3
LS,1,31,3
RS,1,31,3
BR,1 9/16,10,3
TR,1 9/16,10,3
BR,1 9/16,10 3/4,3
TR,1 9/16,10 3/4,3
Front Toe,4 13/16,13 9/16,3
Front Toe,4 13/16,14 1/4,3
UEnd (R),14 1/16,35,3
UEnd (L),20 1/4,35,3
UEnd (R),20 1/4,35,3
UBack,21 15/16,29 3/4,3
UBack,21 15/16,29 3/4,3
Bottom,30 1/2,30 1/2,3
Top,31 1/2,31 1/2,3
Pull,5/16,4,3
Pull,5/16,4,3
Drawer,10 3/4,6 1/16,2
Door(R),10 3/4,22 1/2,2
Door(L),15 1/2,22 1/2,2
Door(R),15 1/2,22 1/2,2
Drawer,31,6 1/16,2
Drw Back,4 3/16,8 1/4,2
Drw Front,4 3/16,8 1/4,2
Drw L Side,4 3/16,20 15/16,2
Drw R Side,4 3/16,20 15/16,2
Drw Bottom,8 1/4,20 7/16,2
RS,1,31,2
CR,1 9/16,9 3/4,2
CS,1 9/16,28 1/16,2
CR,1 9/16,30,2
LS,1 9/16,31,2
BR,1 9/16,41 1/4,2
TR,1 9/16,41 1/4,2
Nailer,2 1/2,42 1/4,2
Front Toe,4 13/16,42 3/4,2
Bottom,22 1/4,42 5/8,2
Divider,22 7/16,29 15/16,2
FEnd (L),23 1/4,35,2
UEnd (R),23 1/4,35,2
UBack,42 5/8,30 1/4,2
Pull,5/16,4,2
Pull,5/16,4,2
Pull,5/16,4,2
Pull,4,5/16,2
Drawer,17 5/16,6 1/16,1
Door(L),17 5/16,22 1/2,1
Drw Back,4 3/16,14 3/4,1
Drw Front,4 3/16,14 3/4,1
Drw L Side,4 3/16,20 15/16,1
Drw R Side,4 3/16,20 15/16,1
Drw Bottom,14 3/4,20 7/16,1
BR,1 9/16,16 1/4,1
TR,1 9/16,16 1/4,1
CR,1 9/16,16 5/16,1
LS,1 9/16,31,1
RS,1 9/16,31,1
Nailer,2 1/2,17 11/16,1
Front Toe,4 13/16,18 3/16,1
Adj Shelf,11 3/4,17 9/16,1
UBack,18 1/16,30 1/4,1
Bottom,22 1/4,18 1/16,1
FEnd (L),23 1/4,35,1
FEnd (R),23 1/4,35,1
Pull,5/16,4,1
Pull,4,5/16,1
Door(L),16,34,4
BR,1 9/16,15,4
TR,1 9/16,15,4
LS,1 9/16,36,4
RS,1 9/16,36,4
Nailer,2 1/2,16 7/16,4
Adj Shelf,10,16 5/16,4
Adj Shelf,10,16 5/16,4
Top,10 1/4,16 13/16,4
Bottom,11 1/4,16 13/16,4
FEnd (L),11 1/4,36,4
FEnd (R),11 1/4,36,4
UBack,16 13/16,35,4
Pull,5/16,4,4
Drawer,18 15/16,6 1/16,6
Drawer,18 15/16,7 3/16,6
Drawer,18 15/16,7 3/16,6
Drawer,18 15/16,7 3/16,6
Drw Back,4 3/16,16 7/16,6
Drw Front,4 3/16,16 7/16,6
Drw L Side,4 3/16,20 15/16,6
Drw R Side,4 3/16,20 15/16,6
Drw Back,5 5/16,16 7/16,6
Drw Front,5 5/16,16 7/16,6
Drw L Side,5 5/16,20 15/16,6
Drw R Side,5 5/16,20 15/16,6
Drw Back,5 5/16,16 7/16,6
Drw Back,5 5/16,16 7/16,6
Drw Front,5 5/16,16 7/16,6
Drw Front,5 5/16,16 7/16,6
Drw L Side,5 5/16,20 15/16,6
Drw L Side,5 5/16,20 15/16,6
Drw R Side,5 5/16,20 15/16,6
Drw R Side,5 5/16,20 15/16,6
Drw Bottom,16 7/16,20 7/16,6
Drw Bottom,16 7/16,20 7/16,6
Drw Bottom,16 7/16,20 7/16,6
Drw Bottom,16 7/16,20 7/16,6
LS,1,31,6
CR,1 9/16,17 15/16,6
CR,1 9/16,17 15/16,6
CR,1 9/16,17 15/16,6
BR,1 9/16,17 15/16,6
TR,1 9/16,17 15/16,6
RS,1 9/16,31,6
Nailer,2 1/2,18 1/2,6
Front Toe,4 13/16,19,6
UBack,18 7/8,30 1/4,6
Bottom,22 1/4,18 7/8,6
UEnd (L),23 1/4,35,6
UEnd (R),23 1/4,35,6
Pull,4,5/16,6
Pull,4,5/16,6
Pull,4,5/16,6
Pull,4,5/16,6
Door(L),11 13/16,34,5
Door(R),11 13/16,34,5
BR,1 9/16,22 13/16,5
TR,1 9/16,22 13/16,5
LS,1 9/16,36,5
RS,3 3/4,36,5
Nailer,2 1/2,23 3/4,5
Adj Shelf,10,23 5/8,5
Adj Shelf,10,23 5/8,5
Top,10 1/4,24 1/8,5
Bottom,11 1/4,24 1/8,5
FEnd (L),11 1/4,36,5
UEnd (R),11 1/4,36,5
UBack,24 1/8,35,5
Pull,5/16,4,5
Pull,5/16,4,5
Door(L),14 1/16,19 1/16,9
Door(R),14 1/16,19 1/16,9
LS,1 9/16,21,9
RS,1 9/16,21,9
BR,1 9/16,27 3/16,9
TR,1 9/16,27 3/16,9
Nailer,2 1/2,28 9/16,9
Top,12 3/4,28 15/16,9
FEnd (L),13 3/4,21,9
FEnd (R),13 3/4,21,9
Bottom,13 3/4,28 15/16,9
UBack,28 15/16,20,9
Pull,5/16,4,9
Pull,5/16,4,9
Door(L),16 7/8,20,11
Door(R),16 7/8,20,11
LS,1 9/16,22,11
RS,1 9/16,22,11
BR,1 9/16,32 15/16,11
TR,1 9/16,32 15/16,11
Nailer,2 1/2,33 1/2,11
Top,12 3/4,33 7/8,11
UEnd (L),13 3/4,22,11
UEnd (R),13 3/4,22,11
Bottom,13 3/4,33 7/8,11
UBack,33 7/8,21,11
Pull,5/16,4,11
Pull,5/16,4,11
Door(L),17,22 1/2,12
Door(R),17,22 1/2,12
Drawer,34,6 1/16,12
LS,1 9/16,31,12
RS,1 9/16,31,12
BR,1 9/16,33 1/16,12
CR,1 9/16,33 1/16,12
TR,1 9/16,33 1/16,12
Nailer,2 1/2,34,12
Front Toe,4 13/16,34 1/2,12
Bottom,19 1/4,34 3/8,12
FEnd (L),20 1/4,35,12
UEnd (R),20 1/4,35,12
UBack,34 3/8,30 1/4,12
Pull,5/16,4,12
Pull,5/16,4,12
Drawer,18,6 1/16,14
Drawer,18,11,14
Drawer,18,11,14
Drw Back,4 3/16,14 1/2,14
Drw Front,4 3/16,14 1/2,14
Drw L Side,4 3/16,17 7/8,14
Drw R Side,4 3/16,17 7/8,14
Drw Back,9 1/8,14 1/2,14
Drw Back,9 1/8,14 1/2,14
Drw Front,9 1/8,14 1/2,14
Drw Front,9 1/8,14 1/2,14
Drw L Side,9 1/8,17 7/8,14
Drw L Side,9 1/8,17 7/8,14
Drw R Side,9 1/8,17 7/8,14
Drw R Side,9 1/8,17 7/8,14
Drw Bottom,14 1/2,17 7/16,14
Drw Bottom,14 1/2,17 7/16,14
Drw Bottom,14 1/2,17 7/16,14
LS,1,31,14
RS,1,31,14
BR,1 9/16,16,14
CR,1 9/16,16,14
CR,1 9/16,16,14
TR,1 9/16,16,14
Nailer,2 1/2,16 15/16,14
Front Toe,4 13/16,17 7/16,14
UBack,17 5/16,30 1/4,14
Bottom,19 1/4,17 5/16,14
UEnd (L),20 1/4,35,14
UEnd (R),20 1/4,35,14
Pull,4,5/16,14
Pull,4,5/16,14
Pull,4,5/16,14
Door(L),11 3/4,22 1/2,15
Door(R),11 3/4,22 1/2,15
Drawer,23 1/2,6 1/16,15
LS,1,31,15
BR,1 9/16,22 1/2,15
CR,1 9/16,22 1/2,15
TR,1 9/16,22 1/2,15
RS,1 9/16,31,15
Nailer,2 1/2,23 1/2,15
Front Toe,4 13/16,24,15
Bottom,19 1/4,23 7/8,15
FEnd (R),20 1/4,35,15
UEnd (L),20 1/4,35,15
UBack,23 7/8,30 1/4,15
Pull,5/16,4,15
Pull,5/16,4,15
Door(L),11 3/4,22 1/2,13
Door(R),11 3/4,22 1/2,13
Drawer,23 1/2,6 1/16,13
RS,1,31,13
BR,1 9/16,22 1/2,13
CR,1 9/16,22 1/2,13
TR,1 9/16,22 1/2,13
LS,1 9/16,31,13
Nailer,2 1/2,23 1/16,13
Front Toe,4 13/16,23 9/16,13
Bottom,19 1/4,23 7/16,13
UEnd (L),20 1/4,35,13
UEnd (R),20 1/4,35,13
UBack,23 7/16,30 1/4,13
Pull,5/16,4,13
Pull,5/16,4,13
Door(L),20 1/2,34,10
Door(R),20 1/2,34,10
CS,1 9/16,33 1/16,10
LS,1 9/16,36,10
RS,1 9/16,36,10
BR,1 9/16,40 7/16,10
TR,1 9/16,40 7/16,10
Nailer,2 1/2,41 7/16,10
Adj Shelf,10,20 1/16,10
Adj Shelf,10,20 1/16,10
Adj Shelf,10,20 1/2,10
Adj Shelf,10,20 1/2,10
Top,10 1/4,41 13/16,10
Partition,10 7/16,34 11/16,10
 Finished End,11 1/4,3 1/16,10
FEnd (R),11 1/4,36,10
ADEnd (L),11 1/4,36,10
Bottom,11 1/4,41 13/16,10
UBack,41 13/16,35,10
Pull,5/16,4,10
Pull,5/16,4,10
Door(L),19 3/4,34,8
Door(R),19 3/4,34,8
CS,1 9/16,33 1/16,8
RS,1 9/16,36,8
BR,1 9/16,38 15/16,8
TR,1 9/16,38 15/16,8
LS,3 1/16,36,8
Nailer,2 1/2,39 1/2,8
Adj Shelf,10,19 5/16,8
Adj Shelf,10,19 5/16,8
Adj Shelf,10,19 5/16,8
Adj Shelf,10,19 5/16,8
Top,10 1/4,39 7/8,8
Partition,10 7/16,34 11/16,8
 Finished End,11 1/4,3 1/16,8
UEnd (L),11 1/4,36,8
ADEnd (R),11 1/4,36,8
Bottom,11 1/4,39 7/8,8
UBack,39 7/8,35,8
Pull,5/16,4,8
Pull,5/16,4,8
Drawer,20 1/2,6 1/16,7
Drawer,20 1/2,6 1/16,7
Door(L),20 1/2,22 1/2,7
Door(R),20 1/2,22 1/2,7
Drw Back,4 3/16,18,7
Drw Back,4 3/16,18,7
Drw Front,4 3/16,18,7
Drw Front,4 3/16,18,7
Drw L Side,4 3/16,20 15/16,7
Drw L Side,4 3/16,20 15/16,7
Drw R Side,4 3/16,20 15/16,7
Drw R Side,4 3/16,20 15/16,7
Drw Bottom,18,20 7/16,7
Drw Bottom,18,20 7/16,7
CR,1 9/16,19 1/2,7
CR,1 9/16,19 1/2,7
CS,1 9/16,28 1/16,7
LS,1 9/16,31,7
RS,1 9/16,31,7
BR,1 9/16,40 1/2,7
TR,1 9/16,40 1/2,7
Nailer,2 1/2,41 7/16,7
Front Toe,4 13/16,41 15/16,7
Adj Shelf,11 3/4,20 1/16,7
Adj Shelf,11 3/4,20 1/2,7
Bottom,22 1/4,41 13/16,7
Partition,22 7/16,29 15/16,7
FEnd (R),23 1/4,35,7
UEnd (L),23 1/4,35,7
UBack,41 13/16,30 1/4,7
Pull,5/16,4,7
Pull,5/16,4,7
Pull,4,5/16,7
Pull,4,5/16,7
